component_no,component_name,layer,x_mil,y_mil,angle
1,C1,T,1205,-505,90
2,C2,T,1650,-1185,270
3,C3,T,1795,-2045,270
4,C4,T,1505,-1710,270
5,C5,T,455,-1770,180
6,C6,T,480,-1980,0
7,C8,T,1785,-1705,90
8,CN1,T,270,-648.5825,90
9,CN2,T,1060,-2035,0
10,D1,T,1190,-1490,270
11,D2,T,1510,-2030,270
12,D3,T,440,-2090,0
13,L1,T,1660,-450.277,90
14,L2,T,910,-1500,270
15,R1,T,1012.4,-895,0
16,SCREW1,T,3059.1138,-2155,0
17,SCREW2,T,40.3905,-2155,0
18,SCREW3,T,40.3905,-45,0
19,SCREW4,T,3059.1138,-45,0
20,U1,T,555,-930,0
21,U2,T,2565,-1135,270
22,U3,T,520,-1485,90
23,U4,T,651.099,-200,180
24,U7,T,664.8,-520,180
25,PAD1,T,1205,-705,0
26,PAD1,T,1205,-705,0
27,PAD2,T,1205,-305,0
28,PAD2,T,1205,-305,0
29,PAD3,T,270,-747.0075,0
30,PAD3,T,270,-747.0075,0
31,PAD4,T,270,-550.1575,0
32,PAD4,T,270,-550.1575,0
33,PAD5,T,961.572,-1897.205,0
34,PAD6,T,1060.002,-1897.205,0
35,PAD7,T,1158.432,-1897.205,0
36,PAD8,T,1190,-1576.61,0
37,PAD9,T,1190,-1403.39,0
38,PAD10,T,1510,-2116.614,0
39,PAD11,T,1510,-1943.386,0
40,PAD12,T,353.385,-2090,0
41,PAD13,T,526.615,-2090,0
42,PAD14,T,1463.15,-702.247,0
43,PAD14,T,1463.15,-702.247,0
44,PAD15,T,1463.15,-198.307,0
45,PAD15,T,1463.15,-198.307,0
46,PAD16,T,1856.85,-198.307,0
47,PAD16,T,1856.85,-198.307,0
48,PAD17,T,1856.85,-702.247,0
49,PAD17,T,1856.85,-702.247,0
50,PAD18,T,864.8,-851.69,0
51,PAD18,T,864.8,-851.69,0
52,PAD19,T,1160,-938.31,0
53,PAD19,T,1160,-938.31,0
54,PAD20,T,447.4803,-953.7402,0
55,PAD20,T,447.4803,-953.7402,0
56,PAD21,T,645.1286,-953.7402,0
57,PAD21,T,645.1286,-953.7402,0
58,PAD22,T,2116.18,-1971.615,0
59,PAD22,T,2116.18,-1971.615,0
60,PAD23,T,3013.82,-1971.615,0
61,PAD23,T,3013.82,-1971.615,0
62,PAD24,T,2411.46,-298.385,0
63,PAD24,T,2411.46,-298.385,0
64,PAD25,T,2718.55,-298.385,0
65,PAD25,T,2718.55,-298.385,0
66,PAD26,T,625.61,-1560,0
67,PAD27,T,625.61,-1510,0
68,PAD28,T,625.61,-1460,0
69,PAD29,T,625.61,-1410,0
70,PAD30,T,414.39,-1560,0
71,PAD31,T,414.39,-1510,0
72,PAD32,T,414.39,-1460,0
73,PAD33,T,414.39,-1410,0
74,PAD34,T,798.737,-286.614,0
75,PAD34,T,798.737,-286.614,0
76,PAD35,T,503.462,-113.386,0
77,PAD35,T,503.462,-113.386,0
78,PAD36,T,864.8,-520,0
79,PAD36,T,864.8,-520,0
80,PAD37,T,464.8,-520,0
81,PAD37,T,464.8,-520,0
82,PAD38,T,910,-1424.21,0
83,PAD39,T,910,-1575.79,0
84,PAD40,T,1650,-988.15,0
85,PAD40,T,1650,-988.15,0
86,PAD41,T,1650,-1381.85,0
87,PAD41,T,1650,-1381.85,0
88,PAD42,T,1795.001,-1976.104,0
89,PAD42,T,1795.001,-1976.104,0
90,PAD43,T,1795.001,-2113.904,0
91,PAD43,T,1795.001,-2113.904,0
92,PAD44,T,523.896,-1770.001,0
93,PAD44,T,523.896,-1770.001,0
94,PAD45,T,386.096,-1770.001,0
95,PAD45,T,386.096,-1770.001,0
96,PAD46,T,1784.999,-1773.896,0
97,PAD46,T,1784.999,-1773.896,0
98,PAD47,T,1784.999,-1636.096,0
99,PAD47,T,1784.999,-1636.096,0
100,PAD48,T,1505,-1737.56,0
101,PAD49,T,1505,-1682.44,0
102,PAD50,T,507.56,-1980,0
103,PAD51,T,452.44,-1980,0
