net_name,pin_count,min_x_mil,max_x_mil,min_y_mil,max_y_mil
+3V3_BUS,14,507.56,961.572,-2090.0,-1424.21
5V_BUS,20,625.61,2116.18,-1976.104,-1560.0
AC_L_FIL,8,1856.85,2718.55,-702.247,-298.385
AC_L_FUSED,16,645.1286,864.8,-953.7402,-286.614
AC_L_IN,8,270.0,447.4803,-953.7402,-747.0075
AC_L_NTC,12,1160.0,1463.15,-938.31,-702.247
AC_N_FIL,12,1650.0,2411.46,-988.15,-198.307
AC_N_IN,20,270.0,1463.15,-550.1575,-113.386
NET_1,1,833.622,833.622,-2172.795,-2172.795
NET_2,1,1286.372,1286.372,-2172.795,-2172.795
NET_3,2,3059.1138,3059.1138,-2155.0,-2155.0
NET_4,2,40.3905,40.3905,-2155.0,-2155.0
NET_5,2,40.3905,40.3905,-45.0,-45.0
NET_6,2,3059.1138,3059.1138,-45.0,-45.0
PGND,42,353.385,3013.82,-2116.614,-1381.85
SW_NODE,6,625.61,1190.0,-1576.61,-1510.0
